Chart1_SeriesGroup_label,Chart1_SeriesGroup_Parametric Value_label,Chart1_SeriesGroup_Parametric Value_Chart1_CategoryGroup_label,Chart1_SeriesGroup_Parametric Value_Chart1_CategoryGroup_Chart1_CategoryGroup1_label,Chart1_SeriesGroup_Parametric Value_Chart1_CategoryGroup_Chart1_CategoryGroup1_Chart1_CategoryGroup2_label,Chart1_SeriesGroup_Parametric Value_Chart1_CategoryGroup_Chart1_CategoryGroup1_Chart1_CategoryGroup2_Chart1_CategoryGroup3_label,Chart1_SeriesGroup_Parametric Value_Chart1_CategoryGroup_Chart1_CategoryGroup1_Chart1_CategoryGroup2_Chart1_CategoryGroup3_Chart1_CategoryGroup4_label,Chart1_SeriesGroup_Parametric Value_Chart1_CategoryGroup_Chart1_CategoryGroup1_Chart1_CategoryGroup2_Chart1_CategoryGroup3_Chart1_CategoryGroup4_Chart1_CategoryGroup5_label,Chart1_SeriesGroup_Parametric Value_Chart1_CategoryGroup_Chart1_CategoryGroup1_Chart1_CategoryGroup2_Chart1_CategoryGroup3_Chart1_CategoryGroup4_Chart1_CategoryGroup5_Value_X,Chart1_SeriesGroup_Parametric Value_Chart1_CategoryGroup_Chart1_CategoryGroup1_Chart1_CategoryGroup2_Chart1_CategoryGroup3_Chart1_CategoryGroup4_Chart1_CategoryGroup5_Value_Y,Chart1_SeriesGroup_High Value_label,Chart1_SeriesGroup_High Value_Chart1_CategoryGroup_Chart1_CategoryGroup1_Chart1_CategoryGroup2_Chart1_CategoryGroup3_Chart1_CategoryGroup4_Chart1_CategoryGroup5_Value_X,Chart1_SeriesGroup_High Value_Chart1_CategoryGroup_Chart1_CategoryGroup1_Chart1_CategoryGroup2_Chart1_CategoryGroup3_Chart1_CategoryGroup4_Chart1_CategoryGroup5_Value_Y,Chart1_SeriesGroup_Low Value_label,Chart1_SeriesGroup_Low Value_Chart1_CategoryGroup_Chart1_CategoryGroup1_Chart1_CategoryGroup2_Chart1_CategoryGroup3_Chart1_CategoryGroup4_Chart1_CategoryGroup5_Value_X,Chart1_SeriesGroup_Low Value_Chart1_CategoryGroup_Chart1_CategoryGroup1_Chart1_CategoryGroup2_Chart1_CategoryGroup3_Chart1_CategoryGroup4_Chart1_CategoryGroup5_Value_Y
Flow,Parametric Value,10/1/2020 6:48:00 AM,MHB1,18526259,DF48450CG/S/P,D4010,True,10/01/2020 06:48:00,4.020000,High Value,10/01/2020 06:48:00,4.977,Low Value,10/01/2020 06:48:00,3.837
Flow,Parametric Value,10/1/2020 6:48:00 AM,MHB2,18526259,DF48450CG/S/P,D4010,True,10/01/2020 06:48:00,9.860000,High Value,10/01/2020 06:48:00,10.563,Low Value,10/01/2020 06:48:00,8.341
Flow,Parametric Value,10/1/2020 6:48:00 AM,MHB3,18526259,DF48450CG/S/P,D4010,True,10/01/2020 06:48:00,7.270000,High Value,10/01/2020 06:48:00,7.982,Low Value,10/01/2020 06:48:00,6.256
Flow,Parametric Value,10/1/2020 6:48:00 AM,MHB4,18526259,DF48450CG/S/P,D4010,True,10/01/2020 06:48:00,8.900000,High Value,10/01/2020 06:48:00,9.965,Low Value,10/01/2020 06:48:00,7.507
Flow,Parametric Value,10/1/2020 6:48:00 AM,MHC1,18526259,DF48450CG/S/P,D4010,True,10/01/2020 06:48:00,7.550000,High Value,10/01/2020 06:48:00,8.521,Low Value,10/01/2020 06:48:00,6.673
Flow,Parametric Value,10/1/2020 6:48:00 AM,MHG1,18526259,DF48450CG/S/P,D4010,True,10/01/2020 06:48:00,6.990000,High Value,10/01/2020 06:48:00,8.009,Low Value,10/01/2020 06:48:00,6.256
Flow,Parametric Value,10/1/2020 6:48:00 AM,MLB1,18526259,DF48450CG/S/P,D4010,True,10/01/2020 06:48:00,0.600000,High Value,10/01/2020 06:48:00,0.715,Low Value,10/01/2020 06:48:00,0.41
Flow,Parametric Value,10/1/2020 6:48:00 AM,MLB2,18526259,DF48450CG/S/P,D4010,True,10/01/2020 06:48:00,0.920000,High Value,10/01/2020 06:48:00,1.057,Low Value,10/01/2020 06:48:00,0.630
Flow,Parametric Value,10/1/2020 6:48:00 AM,MLB3,18526259,DF48450CG/S/P,D4010,True,10/01/2020 06:48:00,0.920000,High Value,10/01/2020 06:48:00,1.057,Low Value,10/01/2020 06:48:00,0.63
Flow,Parametric Value,10/1/2020 6:48:00 AM,MLB4,18526259,DF48450CG/S/P,D4010,True,10/01/2020 06:48:00,0.920000,High Value,10/01/2020 06:48:00,1.057,Low Value,10/01/2020 06:48:00,0.63
